Project,Subproject,Treatment,Deployment Name,ID Type,Deployment ID,Sequence ID,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individually Identifiable,Count,Actual Lat,Actual Lon,Fuzzed
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s37,2020-08-14T00:08:19,2020-08-14T00:08:33,Muntiacus muntjak,Southern Red Muntjac,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s38,2020-08-14T14:32:34,2020-08-14T14:32:37,No Animal,No Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s39,2020-08-20T11:33:42,2020-08-20T11:33:44,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s39,2020-08-20T11:33:42,2020-08-20T11:33:44,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,6,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s4,2020-07-20T15:52:01,2020-07-20T15:52:02,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s40,2020-08-20T23:53:06,2020-08-20T23:53:08,Unknown Small Rodent,Unknown Small Rodent,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s41,2020-08-25T09:38:44,2020-08-25T09:38:52,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s42,2020-09-01T17:26:15,2020-09-01T17:26:17,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s43,2020-09-02T03:08:11,2020-09-02T03:08:19,Sus barbatus,Bearded Pig,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s44,2020-09-02T10:19:11,2020-09-02T10:19:14,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s45,2020-09-05T07:18:10,2020-09-05T07:18:15,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,6,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s46,2020-09-05T10:06:55,2020-09-05T10:06:58,Argusianus argus,Great Argus,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s47,2020-09-06T17:18:52,2020-09-06T17:18:53,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s48,2020-09-11T15:49:43,2020-09-11T15:50:21,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s49,2020-09-11T16:01:05,2020-09-11T16:01:07,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s5,2020-07-21T04:57:04,2020-07-21T04:57:05,Unknown Small Rodent,Unknown Small Rodent,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s50,2020-09-12T02:32:38,2020-09-12T02:32:39,Arctictis binturong,Binturong,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s51,2020-09-12T07:12:26,2020-09-12T07:12:28,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,4,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s52,2020-09-13T00:52:35,2020-09-13T00:52:37,Unknown Animal,Unknown Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s53,2020-09-13T13:27:12,2020-09-13T13:27:14,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s54,2020-09-15T10:58:10,2020-09-15T10:59:07,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s54,2020-09-15T10:58:10,2020-09-15T10:59:07,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s55,2020-09-17T07:42:54,2020-09-17T07:43:10,Rollulus rouloul,Crested Partridge,Adult,Female,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s55,2020-09-17T07:42:54,2020-09-17T07:43:10,Rollulus rouloul,Crested Partridge,Adult,Male,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s56,2020-09-18T11:02:18,2020-09-18T11:02:25,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s57,2020-09-18T11:12:24,2020-09-18T11:12:35,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s58,2020-09-20T11:01:07,2020-09-20T11:01:09,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s59,2020-09-27T06:47:12,2020-09-27T06:47:42,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s59,2020-09-27T06:47:12,2020-09-27T06:47:42,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,7,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s6,2020-07-21T08:57:49,2020-07-21T08:57:51,Herpestes brachyurus,Short-tailed Mongoose,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s60,2020-09-28T12:55:49,2020-09-28T12:55:52,Unknown Animal,Unknown Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s61,2020-09-29T09:56:52,2020-09-29T09:57:17,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s61,2020-09-29T09:56:52,2020-09-29T09:57:17,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s62,2020-09-29T17:47:19,2020-09-29T17:47:35,Sus barbatus,Bearded Pig,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s63,2020-10-01T06:46:23,2020-10-01T06:47:55,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s63,2020-10-01T06:46:23,2020-10-01T06:47:55,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s63,2020-10-01T06:46:23,2020-10-01T06:47:55,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s64,2020-10-02T09:05:56,2020-10-02T09:06:01,Sus barbatus,Bearded Pig,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s65,2020-10-03T21:52:19,2020-10-03T21:52:30,Viverra tangalunga,Malay Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s66,2020-10-03T22:04:11,2020-10-03T22:04:13,Viverra tangalunga,Malay Civet,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s67,2020-10-03T23:46:40,2020-10-03T23:46:42,Viverra tangalunga,Malay Civet,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s68,2020-10-04T02:23:36,2020-10-04T02:23:42,Viverra tangalunga,Malay Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s69,2020-10-05T11:38:18,2020-10-05T11:38:23,Rheithrosciurus macrotis,Tufted Ground Squirrel,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s7,2020-07-21T12:32:15,2020-07-21T12:33:12,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s7,2020-07-21T12:32:15,2020-07-21T12:33:12,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s7,2020-07-21T12:32:15,2020-07-21T12:33:12,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s70,2020-10-06T06:29:25,2020-10-06T06:29:27,Unknown Bird,Unknown Bird,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s71,2020-10-06T06:33:01,2020-10-06T06:33:24,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s72,2020-10-09T09:49:53,2020-10-09T09:50:25,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s72,2020-10-09T09:49:53,2020-10-09T09:50:25,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s72,2020-10-09T09:49:53,2020-10-09T09:50:25,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s73,2020-10-10T08:18:01,2020-10-10T08:18:04,Rollulus rouloul,Crested Partridge,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s73,2020-10-10T08:18:01,2020-10-10T08:18:04,Rollulus rouloul,Crested Partridge,Adult,Male,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s74,2020-10-10T11:25:04,2020-10-10T11:25:28,Rollulus rouloul,Crested Partridge,Adult,Male,N,3,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s74,2020-10-10T11:25:04,2020-10-10T11:25:28,Rollulus rouloul,Crested Partridge,Adult,Female,N,4,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s75,2020-10-10T16:29:59,2020-10-10T16:30:01,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s76,2020-10-11T10:06:52,2020-10-11T10:07:59,Camera Trapper,Camera Trapper,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s8,2020-07-21T12:34:31,2020-07-21T12:34:57,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s8,2020-07-21T12:34:31,2020-07-21T12:34:57,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s9,2020-07-21T12:39:56,2020-07-21T12:40:21,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s1,2020-01-15T13:00:34,2020-01-15T13:03:23,Camera Trapper,Camera Trapper,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s10,2020-02-02T06:07:56,2020-02-02T06:07:58,Unknown Animal,Unknown Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s100,2020-04-24T14:13:13,2020-04-24T14:13:26,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s101,2020-04-24T14:14:46,2020-04-24T14:14:47,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s102,2020-04-24T14:17:14,2020-04-24T14:17:23,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s103,2020-04-24T15:46:15,2020-04-24T15:46:18,No Animal,No Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s104,2020-04-24T17:07:52,2020-04-24T17:08:21,Muntiacus atherodes,Bornean Yellow Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s104,2020-04-24T17:07:52,2020-04-24T17:08:21,Muntiacus atherodes,Bornean Yellow Muntjac,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s105,2020-05-01T18:53:18,2020-05-01T18:53:22,No Animal,No Animal,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s106,2020-05-03T05:51:13,2020-05-03T05:51:15,Viverra tangalunga,Malay Civet,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Jul20,Researcher,d67678,d67678s107,2020-05-05T03:53:51,2020-05-05T03:56:03,Sus barbatus,Bearded Pig,Adult,Unknown,N,1,1.39903,111.99784,FALSE
