Project,Subproject,Treatment,Deployment Name,ID Type,Deployment ID,Sequence ID,Begin Time,End Time,Species Name,Common Name,Age,Sex,Individually Identifiable,Count,Actual Lat,Actual Lon,Fuzzed
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s1,2020-07-16T12:12:42,2020-07-16T12:12:49,Camera Trapper,Camera Trapper,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s10,2020-07-22T04:47:33,2020-07-22T04:47:34,Prionailurus bengalensis,Leopard Cat,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s11,2020-07-22T06:58:59,2020-07-22T06:59:40,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,10,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s12,2020-07-23T07:46:58,2020-07-23T07:48:27,Sus barbatus,Bearded Pig,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s13,2020-07-23T07:52:32,2020-07-23T07:52:37,Sus barbatus,Bearded Pig,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s14,2020-07-23T17:59:18,2020-07-23T17:59:20,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s15,2020-07-23T18:00:24,2020-07-23T18:00:26,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s16,2020-07-26T14:53:19,2020-07-26T14:53:24,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s17,2020-07-28T06:52:42,2020-07-28T06:52:44,Treeshrew species,Treeshrew species,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s18,2020-07-28T17:31:03,2020-07-28T17:31:22,Macaca nemestrina,Southern Pig-tailed Macaque,Juvenile,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s18,2020-07-28T17:31:03,2020-07-28T17:31:22,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s19,2020-07-31T18:54:12,2020-07-31T18:54:49,Sus barbatus,Bearded Pig,Adult,Female,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s2,2020-07-19T10:57:46,2020-07-19T10:57:56,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,4,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s20,2020-07-31T18:56:23,2020-07-31T18:56:42,Sus barbatus,Bearded Pig,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s21,2020-08-02T08:46:00,2020-08-02T08:46:05,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s22,2020-08-02T15:43:04,2020-08-02T15:43:08,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s23,2020-08-03T05:55:46,2020-08-03T05:55:48,Unknown Small Rodent,Unknown Small Rodent,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s24,2020-08-05T02:02:20,2020-08-05T02:02:21,Muntiacus muntjak,Southern Red Muntjac,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s25,2020-08-05T20:44:30,2020-08-05T20:44:31,Unknown Small Rodent,Unknown Small Rodent,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s26,2020-08-06T10:20:54,2020-08-06T10:20:57,Macaca nemestrina,Southern Pig-tailed Macaque,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s27,2020-08-06T18:34:49,2020-08-06T18:34:54,Muntiacus muntjak,Southern Red Muntjac,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s28,2020-08-09T04:42:43,2020-08-09T04:42:55,Sus barbatus,Bearded Pig,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s29,2020-08-09T05:43:55,2020-08-09T05:44:33,Sus barbatus,Bearded Pig,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s3,2020-07-20T08:36:57,2020-07-20T08:36:59,Rollulus rouloul,Crested Partridge,Unknown,Unknown,N,6,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s30,2020-08-10T06:54:12,2020-08-10T06:54:19,Argusianus argus,Great Argus,Adult,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s31,2020-08-10T09:49:31,2020-08-10T09:49:43,Macaca nemestrina,Southern Pig-tailed Macaque,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s32,2020-08-10T20:17:37,2020-08-10T20:17:38,Unknown Small Rodent,Unknown Small Rodent,Unknown,Unknown,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s33,2020-08-11T19:32:17,2020-08-11T19:33:31,Sus barbatus,Bearded Pig,Unknown,Unknown,N,5,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s34,2020-08-11T19:34:50,2020-08-11T19:36:17,Sus barbatus,Bearded Pig,Unknown,Unknown,N,2,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s35,2020-08-13T06:48:29,2020-08-13T06:48:33,Argusianus argus,Great Argus,Adult,Male,N,1,1.39903,111.99784,FALSE
Smithsonian Borneo Mammal Survey at LEWS Project,LEWS Community Forests,,CF37_Oct20,Researcher,d71488,d71488s36,2020-08-14T00:06:44,2020-08-14T00:06:46,Muntiacus muntjak,Southern Red Muntjac,Adult,Unknown,N,1,1.39903,111.99784,FALSE
