project_id,deployment_id,subproject_name,subproject_design,placename,longitude,latitude,start_date,end_date,event_name,event_description,event_type,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,recorded_by,plot_treatment,plot_treatment_description,detection_distance
p197,Plot50-Sep2018_d49573,Buffer Forest,,Plot50-Sep2018,111.99641,1.42020,2018-07-19 00:00:00,2018-09-25 00:00:00,,,,None,,None,,SCBI-1011,1,Camera Functioning,Knee height,,Parallel,None,None,None,None,8
p197,Plot38-Nov2018_d49611,Sanctuary Forest,,Plot38-Nov2018,112.01743,1.42203,2018-09-22 00:00:00,2018-09-25 00:00:00,,,,None,,None,,FONZ-06,1,Camera Functioning,Knee height,,Parallel,None,None,None,None,5
p197,Plot44-Jan2019_d50370,Sanctuary Forest,,Plot44-Jan2019,112.01313,1.44332,2018-11-07 00:00:00,2019-01-15 00:00:00,,,,None,,None,,SCBI-93,0,Camera Functioning,Knee height,,Parallel,None,None,None,None,5
p197,Plot01-Jan2019_d50327,Reserve Forest,,Plot01-Jan2019,111.98443,1.38705,2018-11-11 00:00:00,2019-01-19 00:00:00,,,,None,,None,,0,1,Camera Functioning,Knee height,,Parallel,None,None,None,None,7
p197,Plot05-Jan2019_d50331,Reserve Forest,,Plot05-Jan2019,111.97807,1.40016,2018-11-11 00:00:00,2019-01-20 00:00:00,,,,None,,None,,SCBI-57,0,Camera Functioning,Knee height,,Parallel,None,None,None,None,6.5
p197,Plot06-Jan2019_d50332,Reserve Forest,,Plot06-Jan2019,111.99057,1.39679,2018-11-11 00:00:00,2018-12-04 00:00:00,,,,None,,None,,SCBI-62,0,Camera Functioning,Knee height,,Parallel,None,None,None,None,6.5
p197,Plot03-Jan2019_d50329,Reserve Forest,,Plot03-Jan2019,111.98013,1.39128,2018-11-11 00:00:00,2019-01-20 00:00:00,,,,None,,None,,SCBI-65,0,Camera Functioning,Knee height,,Parallel,None,None,None,None,6.5
p197,Plot07-Jan2019_d50333,Reserve Forest,,Plot07-Jan2019,111.99400,1.40039,2018-11-02 00:00:00,2019-01-19 00:00:00,,,,None,,None,,SCBI-1015,1,Camera Functioning,Knee height,,Parallel,None,None,None,None,6.7
p197,Plot24-Nov2018_d49597,Sanctuary Forest,,Plot24-Nov2018,112.00339,1.41835,2018-09-24 00:00:00,2018-10-17 00:00:00,,,,None,,None,,SCBI-88,0,Camera Functioning,Knee height,,Parallel,None,None,None,None,6.5
p197,Plot41-Nov2018_d49614,Sanctuary Forest,,Plot41-Nov2018,112.00906,1.44364,2018-09-24 00:00:00,2018-10-25 00:00:00,,,,None,,None,,CAM-05,1,Camera Functioning,Knee height,,Parallel,None,None,None,None,9
