Group,Species,Common Name
Aves,Lophura bulweri,Bulwer's Pheasant
Aves,Lophura ignita,Crested Fireback
Aves,Rollulus rouloul,Crested Partridge
Aves,Haematortyx sanguiniceps,Crimson-headed Partridge
Aves,Polyplectron schleiermacheri,Bornean Peacock-pheasant
Aves,Lophura erythrophthalma,Crestless Fireback
Aves,Argusianus argus,Great Argus
Aves,Arborophila hyperythra,Red-breasted Partridge
Carnivore,Hemigalus derbyanus,Banded Civet
Carnivore,Arctictis binturong,Binturong
Carnivore,Diplogale hosei,Hose's Civet
Carnivore,Viverra tangalunga,Malay Civet
Carnivore,Paguma larvata,Masked Palm Civet
Carnivore,Arctogalidia trivirgata,Small-toothed Palm Civet
Carnivore,Aonyx cinereus,Asian Small-clawed Otter
Carnivore,Prionodon linsang,Banded Linsang
Carnivore,Herpestes semitorquatus,Collared Mongoose
Carnivore,Mustela nudipes,Malay Weasel
Carnivore,Herpestes brachyurus,Short-tailed Mongoose
Carnivore,Unknown Mongoose,Unknown Mongoose
Carnivore,Martes flavigula,Yellow-throated Marten
Carnivore,Helarctos malayanus,Sun Bear
Carnivore,Echinosorex gymnura,Moonrat
Carnivore,Melogale everetti,Bornean Ferret Badger
Carnivore,Catopuma badia,Borneo Bay Cat
Carnivore,Prionailurus bengalensis,Leopard Cat
Carnivore,Pardofelis marmorata,Marbled Cat
Carnivore,Neofelis diardi,Sunda Clouded Leopard
Other,Canis familiaris,Domestic Dog
Reptile,Reptile species,Reptile species
Reptile,Varanus salvator,Common Water Monitor
"Pangolin",Manis javanica,Sunda Pangolin
"Rodents and Treeshrews",Hystrix crassispinis,Thick-spined Porcupine
"Rodents and Treeshrews",Unknown Porcupine,Unknown Porcupine
"Rodents and Treeshrews",Trichys fasciculata,Long-tailed Porcupine
"Rodents and Treeshrews",Hystrix brachyura,Malayan Porcupine
"Rodents and Treeshrews",Unknown Small Rodent,Unknown Small Rodent
"Rodents and Treeshrews",Unknown Squirrel,Unknown Squirrel
"Rodents and Treeshrews",Sundasciurus hippurus,Horse-tailed Squirrel
"Rodents and Treeshrews",Callosciurus notatus,Plantain Squirrel
"Rodents and Treeshrews",Callosciurus prevostii,Prevost's Squirrel
"Rodents and Treeshrews",Lariscus insignis,Three-striped Ground Squirrel
"Rodents and Treeshrews",Rheithrosciurus macrotis,Tufted Ground Squirrel
"Rodents and Treeshrews",Unknown Pygmy Squirrel,Unknown Pygmy Squirrel
"Rodents and Treeshrews",Tupaia dorsalis,Striped Treeshrew
"Rodents and Treeshrews",Treeshrew species,Treeshrew species
"Rodents and Treeshrews",Leopoldamys sabanus,Long-tailed Giant Rat
"Rodents and Treeshrews",Petaurista petaurista,Common Giant Flying Squirrel
"Rodents and Treeshrews",Tupaia montana,Mountain Treeshrew
"Rodents and Treeshrews",Ratufa affinis,Pale Giant Squirrel
Primate,Pongo pygmaeus,Bornean Orangutan
Primate,Macaca fascicularis,Crab-eating Macaque
Primate,Tarsius bancanus,Horsfield's Tarsier
Primate,Presbytis rubicunda,Maroon Leaf Monkey
Primate,Macaca nemestrina,Southern Pig-tailed Macaque
Primate,Hylobates muelleri,Bornean Gibbon
Primate,Trachypithecus cristatus,Silvery Lutung
Primate,Presbytis hosei,Hose’s Langur
Primate,Presbytis frontata,White-fronted Langur
Ungulate,Sus barbatus,Bearded Pig
Ungulate,Muntiacus sp.,Muntiacus sp.
Ungulate,Muntiacus muntjak,Southern Red Muntjac
Ungulate,Muntiacus atherodes,Bornean Yellow Muntjac
Ungulate,Rusa unicolor,Sambar
Ungulate,Tragulus sp.,Tragulus sp.
Ungulate,Tragulus napu,Greater Chevrotain
Ungulate,Tragulus kanchil,Lesser Chevrotain
