"project_id","deployment_id","subproject_name","subproject_design","placename","longitude","latitude","start_date","end_date","event_name","event_description","event_type","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by","plot_treatment","plot_treatment_description","detection_distance"
"p258","SP34_d51723","Kinabalu Park",NA,"SP34",116.7,6.13,"2016-09-22 00:00:00","2017-03-09 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP34",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP47_d51720","Kinabalu Park",NA,"SP47",116.69,6.22,"2016-09-24 00:00:00","2017-03-11 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP47",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP31_d51728","Kinabalu Park",NA,"SP31",116.69,6.05,"2016-09-20 00:00:00","2017-03-07 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP31",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP48_d51721","Kinabalu Park",NA,"SP48",116.69,6.22,"2016-09-25 00:00:00","2017-03-11 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP48",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP37_d51724","Kinabalu Park",NA,"SP37",116.7,6.13,"2016-09-22 00:00:00","2017-03-09 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP37",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP38_d51725","Kinabalu Park",NA,"SP38",116.7,6.14,"2016-09-22 00:00:00","2017-03-09 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP38",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP39_d51726","Kinabalu Park",NA,"SP39",116.71,6.14,"2016-09-22 00:00:00","2017-03-09 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP39",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP32_d51729","Kinabalu Park",NA,"SP32",116.69,6.05,"2016-09-20 00:00:00","2017-03-07 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP32",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP33_d51730","Kinabalu Park",NA,"SP33",116.68,6.05,"2016-09-20 00:00:00","2017-03-07 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP33",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
"p258","SP35_d51731","Kinabalu Park",NA,"SP35",116.68,6.05,"2016-09-20 00:00:00","2017-03-07 00:00:00",NA,NA,NA,"None",NA,"None",NA,"SP35",0,"Camera Functioning","Knee height",NA,"Parallel","None","None","None","None",15
