camera,northing,easting,elev,Deployment Name,Deployment ID
CTSP46ST,"N 06? 01' 53.2""","E 116? 32' 44.4""",1926,SP46,d51737
CTSP42ST,"N 06? 02' 09.1""","E 116? 32' 49.2""",2127,SP42,d51735
CTSP40ST,"N 06? 02' 32.6""","E 116? 33' 08.7""",2469,SP40,d51733
CTSP41ST,"N 06? 02' 58.7""","E 116? 32' 37.5""",2888,SP41,d51734
CTSP43ST,"N 06? 03' 20.1""","E 116? 33' 44.0""",3093,No data,
CTSP31PO,"N 06? 02' 52.7""","E 116? 41' 36.0""",739,SP31,d51728
CTSP32PO,"N 06? 02' 51.6""","E 116? 41' 20.9""",879,SP32,d51729
CTSP33PO,"N 06? 02' 57.8""","E 116? 41' 00.2""",1058,SP33,d51730
CTSP35PO,"N 06? 02' 59.4""","E 116? 40' 44.7""",1256,SP35,d51731
CTSP36PO,"N 06? 02' 59.5""","E 116? 40' 39.5""",1350,SP36,d51732
CTSP34NL,"N 06? 07' 46.8""","E 116? 42' 13.4""",1009,SP34,d51723
CTSP37NL,"N 06? 07' 59.3""","E 116? 42' 12.9""",1157,SP37,d51724
CTSP38NL,"N 06? 08' 11.2""","E 116? 42' 13.2""",1258,SP38,d51725
CTSP39NL,"N 06? 08' 19.2""","E 116? 42' 21.8""",1393,SP39,d51726
CTSP44NL,"N 06? 08' 30.0""","E 116? 42' 21.6""",1539,No data,
CTSP45MG,"N 06? 12' 56.4""","E 116? 41' 50.3""",844,No data,
CTSP47MG,"N 06? 13' 05.4""","E 116? 41' 39.1""",873,SP47,d51720
CTSP48MG,"N 06? 13' 16.3""","E 116? 41' 26.9""",1011,SP48,d51721
CTSP49MG,"N 06? 13' 27.5""","E 116? 41' 20.2""",1020,No data,
CTSP50MG,"N 06? 13' 36.6""","E 116? 41' 24.4""",1096,No data,
SP01TBT,"N 04? 27' 16.6""","E 117? 52' 23.8""",389,SP01,d48018
CT02TBT,"N 04? 27' 23.9""","E 117? 52' 40.6""",390,SP02,d48019
CT03TBT,"N 04? 27' 20.2""","E 117? 52' 58.1""",437,No data,
CT04TBT,"N 04? 27' 19.7""","E 117? 53' 12.2""",497,SP04,d48020
CT05TBT,"N 04? 27' 21.5""","E 117? 53' 28.4""",523,No data,
CT06TBT,"N 04? 27' 22.7""","E 117? 53' 45.0""",579,SP06,d48021
CT07TBT,"N 04? 27' 05.3""","E 117? 53' 46.3""",569,No data,
CT08TBT,"N 04? 26' 53.6""","E 117? 53' 47.5""",652,SP08,d48023
CT09TBT,"N 04? 26' 41.4""","E 117? 53' 37.8""",625,SP09,d48024
CT10TBT,"N 04? 26' 31.3""","E 117? 53' 26.8""",706,SP10,d48025
CT11TBT,"N 04? 25' 57.2""","E 117? 53' 45.8""",633,No data,
CT12TBT,"N 04? 25' 50.5""","E 117? 54' 00.3""",590,No data,
CT13TBT,"N 04? 25' 36.9""","E 117? 54' 11.2""",535,SP13,d48028
CT14TBT,"N 04? 25' 21.2""","E 117? 54' 17.3""",375,SP14,d48029
CT15TBT,"N 04? 25' 02.5""","E 117? 54' 17.4""",453,SP15,d48030
CT16TBT,"N 04? 24' 52.2""","E 117? 54' 05.5""",425,SP16,d48031
CT17TBT,"N 04? 24' 38.5""","E 117? 53' 55.6""",429,SP17,d48032
CT18TBT,"N 04? 24' 23.0""","E 117? 53' 49.0""",424,SP18,d48033
CT19TBT,"N 04? 24' 11.5""","E 117? 53' 38.1""",391,SP19,d48034
CT20TBT,"N 04? 23' 57.0""","E 117? 53' 29.9""",356,No data,
CT21TBT,"N 04? 27' 04.3""","E 117? 58' 53.9""",287,SP21,d48035
CT22TBT,"N 04? 27' 16.9""","E 117? 58' 04.5""",364,SP22,d48036
CT23TBT,"N 04? 27' 06.4""","E 117? 59' 17.2""",293,SP23,d48037
CT24TBT,"N 04? 27' 00.0""","E 117? 59' 32.9""",250,SP24,d48038
CT25TBT,"N 04? 26' 51.7""","E 117? 59' 44.6""",248,No data,
CT26TBT,"N 04? 27' 51.4""","E 117? 55' 21.5""",981,No data,
CT27TBT,"N 04? 27' 54.1""","E 117? 55' 38.4""",994,No data,
CT28TBT,"N 04? 28' 05.5""","E 117? 55' 50.7""",1095,SP28,d48042
CT29TBT,"N 04? 28'18.9""","E 117? 55' 00.9""",1143,No data,
CT30TBT,"N 04? 28' 34.2""","E 117? 55' 05.4""",1011,SP30,d48044
